Year,Oblast,0,1,1.1,1.1.1,1.1.1.0,1.1.2,1.1.3,1.1.4,1.2,1.2.1,1.2.2,1.2.3,1.2.4,1.2.5,1.3,1.3.1,1.4,1.5,1.6,1.7,2,2.1,2.1.1,2.1.1.1,2.1.2,2.1.2.1,2.2,2.2.1,2.2.2,2.2.3,2.2.4,2.2.5,2.2.6,2.2.7,2.2.8,2.3,2.4,2.5,3,3.1,3.1.1,3.2,3.3,3.3.1,3.3.2,3.3.3,3.3.4,3.3.5,3.4,3.4.1,3.4.2,3.4.3,3.5,3.5.1,3.5.2,3.5.3,3.5.4,3.5.5,3.5.6,3.5.7,3.5.8,3.6,3.6.1,3.6.2,3.7,4,4.1,4.2,4.2.0,4.2.1,4.3,4.3.1,4.3.2,4.3.3,4.4,4.4.1,4.4.2,4.5,4.5.1,4.5.2,4.6,5
2000,Благоевград,1245.009243,53.02226935,2.897391768,2.317913414,,0.579478354,0,0,10.14087119,4.056348475,4.346087652,0.86921753,0.289739177,0.289739177,30.13287439,0.86921753,3.766609298,0,6.084522713,,957.8777185,42.88139817,4.925566005,2.317913414,,,841.6923086,17.67408978,254.3909972,116.4751491,14.48695884,83.15514374,229.1836888,4.056348475,105.4650604,19.41252485,0.86921753,52.60026386,152.402807,25.49704756,1.158956707,2.317913414,33.60974451,27.23548262,6.374261889,0,,,2.317913414,2.317913414,0,0,10.72034954,0,8.11269695,0,2.607652591,0,0,0,0,77.3603602,3.766609298,20.86122073,0.579478354,81.70644786,1.448695884,38.24557134,,36.50713628,6.084522713,0,0,,28.6841785,0,8.981914481,,,,,
2000,Бургас,2125.707008,103.2419373,7.023261041,2.809304416,,2.341087014,0.234108701,0.234108701,13.11008728,3.51163052,7.491478443,0.936434805,0.468217403,0.468217403,44.48065326,1.872869611,1.170543507,0,37.45739222,,1504.148406,43.77832715,1.872869611,1.170543507,,,1325.05525,33.47754429,394.2390531,248.6234408,22.00621793,148.8931341,208.1226355,6.789152339,201.5675919,81.93804547,3.51163052,49.86515339,377.6173353,23.87908754,0.702326104,13.34419598,166.217178,110.0310896,55.71787092,0.468217403,,,1.170543507,0.468217403,0,0,4.448065326,0,3.745739222,0.234108701,0.468217403,0,0,0,0,167.3877215,3.745739222,32.77521819,1.170543507,140.6993295,6.555043638,63.91167547,,58.52717534,8.193804547,0,0,,52.2062404,0,26.92250066,,,,,
2000,Варна,2396.025086,106.4546955,31.09657416,4.085681276,,1.588876052,0,22.24426472,17.93160116,4.993610448,10.21420319,0.680946879,0.680946879,0.907929172,37.45207836,1.815858345,6.128521914,0,13.84591988,,1715.305189,142.5448801,1.815858345,0.680946879,,,1462.900879,61.96616602,560.1922994,348.8717845,29.28071581,146.4035791,426.0457642,4.993610448,148.4464197,30.86959186,3.404734397,75.58510361,434.8980736,17.93160116,1.815858345,9.987220897,249.6805224,96.01350999,151.3971895,2.269822931,,,1.134911466,1.134911466,0,0,10.66816778,0,10.21420319,0.453964586,0,0,0,0,0,144.3607384,6.128521914,45.16947633,1.134911466,139.367128,4.312663569,47.89326385,,46.0774055,7.944380259,0,0,,59.2423785,0,31.55053874,,,,,
2000,Велико Търново,1455.437395,70.03358957,4.978691202,1.327650987,,1.327650987,0.331912747,0,12.94459712,2.987214721,8.629731416,0.663825494,0.331912747,0,36.84231489,0,2.987214721,0,12.28077163,,1124.188473,37.17422764,0,0,,,1020.299784,26.221107,307.0192908,100.901475,8.297818669,116.5013741,119.8205016,7.633993176,208.7731177,21.24241579,1.659563734,43.81248257,179.2328833,14.60416086,0,11.28503339,44.47630807,42.15291884,1.327650987,0.99573824,,,2.655301974,2.655301974,0,0,1.991476481,0,1.991476481,0,0,0,0,0,0,103.2248642,4.978691202,24.89345601,0.99573824,81.98244845,4.978691202,32.52744918,,27.54875798,6.970167682,0.331912747,0,,32.19553644,0,22.23815403,,,,,
2000,Видин,1716.212516,125.3656498,7.925414643,3.602461201,,3.602461201,0,0,15.85082929,6.484430163,7.204922403,0,1.440984481,0,76.37217747,1.440984481,2.161476721,0,23.05575169,,1275.991758,25.93772065,0,0,,,1104.514604,11.52787584,328.5444616,103.0303904,12.96886033,101.5894059,59.0803637,5.043445682,191.6509359,78.53365419,3.602461201,63.40331715,176.5205989,41.78854994,1.440984481,8.645906884,42.50904218,27.37870513,13.68935257,1.440984481,,,0.72049224,0.72049224,0,0,4.322953442,0,4.322953442,0,0,0,0,0,0,76.37217747,2.881968961,27.37870513,2.161476721,138.3345101,5.043445682,57.63937922,,55.4779025,11.52787584,0,0,,62.68282491,0,27.37870513,,,,,
2000,Враца,1848.279856,95.07451416,6.65130346,3.521278302,,1.173759434,0.391253145,0.391253145,14.8676195,3.521278302,8.607569183,1.173759434,0,0,65.33927516,0.391253145,1.565012579,0,6.65130346,,1327.52192,44.99411164,0,0,,,1208.972217,22.69268239,390.4706384,98.59579246,44.99411164,136.1560944,73.5555912,7.433809749,226.5355708,21.9101761,1.565012579,50.08040252,336.4777044,60.25298428,5.86879717,23.47518868,109.9421337,84.51067925,24.64894812,0.782506289,,,1.565012579,1.565012579,0,0,2.738772013,0,1.956265723,0,0.782506289,0,0,0,0,136.5473475,4.303784592,23.08393554,1.956265723,89.20571699,5.86879717,43.03784592,,41.47283334,5.477544026,0.391253145,0,,32.08275787,0,17.99764466,,,,,
2000,Габрово,1073.06903,55.38000456,6.515294654,3.257647327,,1.954588396,0,0,7.818353585,2.606117862,4.560706258,0,0,0,29.31882594,0.651529465,2.606117862,0,9.121412516,,704.9548816,9.121412516,0.651529465,0.651529465,,,612.4376975,13.68211877,212.3986057,151.8063654,11.72753038,99.68400821,80.78965371,8.46988305,107.5023618,12.37905984,0.651529465,69.9790063,198.716487,9.121412516,0,5.212235723,28.66729648,26.71270808,1.954588396,0,,,0,0,0,0,3.257647327,0,1.303058931,0,1.954588396,0,0,0,0,151.8063654,5.863765189,31.92494381,0.651529465,114.0176564,4.560706258,69.7136528,,67.10753494,5.212235723,0,0,,30.62188487,0,20.19741343,,,,,
2000,Добрич,1943.552027,58.41276584,7.080335254,0.442520953,,0.885041907,0,3.540167627,15.48823337,5.752772394,4.867730487,1.770083813,2.212604767,0,26.99377816,0,3.98268858,0,4.867730487,,1571.834426,68.14822682,4.867730487,3.097646674,,,1404.118985,38.49932294,589.8804308,380.5680199,28.32134102,148.6870403,240.2888777,6.195293347,368.1774332,34.95915532,1.770083813,62.83797538,196.9218242,33.63159246,0.885041907,3.540167627,57.08520298,54.43007726,2.65512572,0,,,0.442520953,0.442520953,0,0,4.867730487,0,4.425209534,0,0.442520953,0,0,0,0,96.46956783,3.98268858,31.86150864,0.885041907,116.3830107,7.965377161,50.00486773,,48.67730487,10.62050288,0,0,,34.07411341,0,20.35596385,,,,,
2000,Кърджали,770.5232599,61.64186079,4.971117806,1.988447122,,0.994223561,0.497111781,0.497111781,11.43357095,2.982670683,3.479782464,0.994223561,0.994223561,1.988447122,30.32381861,0.994223561,2.982670683,0,11.93068273,,555.2738589,22.37003012,0.497111781,0.497111781,,,475.2388622,6.959564928,152.1162048,82.52055557,5.965341367,50.70540162,78.54366133,1.491335342,90.97145584,14.91335342,2.485558903,40.26605422,104.8905857,29.32959505,1.491335342,5.965341367,14.91335342,14.91335342,0,0,,,0,0,0,0,3.479782464,0,2.982670683,0,0.497111781,0,0,0,0,48.71695449,1.491335342,14.91335342,2.485558903,48.71695449,1.988447122,15.90757698,,14.41624164,2.982670683,0,0,,27.34114793,0,9.942235611,,,,,
2000,Кюстендил,1614.10421,114.3299386,5.863073775,1.172614755,,4.69045902,0,0,11.72614755,2.34522951,5.863073775,1.758922133,1.172614755,0.586307378,57.458123,1.172614755,1.758922133,0,37.52367216,,1113.984017,21.10706559,0.586307378,0,,,1001.999308,18.76183608,548.7837053,239.21341,35.76475003,116.6751681,140.1274632,5.863073775,165.3386805,25.79752461,2.931536888,62.14858202,271.4603158,36.93736478,0.586307378,14.65768444,31.66059839,25.21121723,6.449381153,0,,,1.758922133,1.172614755,0,0,4.69045902,0,4.69045902,0,0,0,0,0,0,179.9963649,3.517844265,23.4522951,1.758922133,114.3299386,2.34522951,70.94319268,,63.90750415,10.5535328,4.104151643,0,,26.97013937,0,4.69045902,,,,,
