Year,Oblast,0,1,1.1,1.1.1,1.1.1.0,1.1.2,1.1.3,1.1.4,1.2,1.2.1,1.2.2,1.2.3,1.2.4,1.2.5,1.3,1.3.1,1.4,1.5,1.6,1.7,2,2.1,2.1.1,2.1.1.1,2.1.2,2.1.2.1,2.2,2.2.1,2.2.2,2.2.3,2.2.4,2.2.5,2.2.6,2.2.7,2.2.8,2.3,2.4,2.5,3,3.1,3.1.1,3.2,3.3,3.3.1,3.3.2,3.3.3,3.3.4,3.3.5,3.4,3.4.1,3.4.2,3.4.3,3.5,3.5.1,3.5.2,3.5.3,3.5.4,3.5.5,3.5.6,3.5.7,3.5.8,3.6,3.6.1,3.6.2,3.7,4,4.1,4.2,4.2.0,4.2.1,4.3,4.3.1,4.3.2,4.3.3,4.4,4.4.1,4.4.2,4.5,4.5.1,4.5.2,4.6,5
2000,Благоевград,37.18873633,85.79234973,90,87.5,,100,0,0,97.14285714,100,100,66.66666667,100,100,83.65384615,100,92.30769231,0,71.42857143,,25.77132486,51.35135135,47.05882353,25,,,22.71944923,16.39344262,14.46469248,22.13930348,22,24.04181185,22.12389381,0,32.69230769,73.13432836,66.66666667,35.51912568,63.68821293,26.13636364,0,75,33.62068966,35.10638298,27.27272727,0,,,87.5,87.5,0,0,89.18918919,0,100,0,55.55555556,0,0,0,0,84.64419476,92.30769231,68.05555556,50,90.07092199,60,89.39393939,,88.88888889,85.71428571,0,0,,92.92929293,0,90.32258065,,,,,
2000,Бургас,53.65638767,91.15646259,80,83.33333333,,70,0,100,98.21428571,93.33333333,100,100,100,100,85.78947368,87.5,100,0,96.875,,49.41634241,60.96256684,62.5,80,,,46.27208481,60.83916084,32.66033254,36.91148776,24.46808511,43.86792453,42.4071991,20.68965517,54.93612079,78,93.33333333,72.76995305,46.68319901,29.41176471,33.33333333,98.24561404,11.12676056,14.04255319,5.042016807,50,,,60,100,0,0,94.73684211,0,100,100,50,0,0,0,0,78.6013986,87.5,53.57142857,100,90.18302829,89.28571429,92.30769231,,93.2,68.57142857,0,0,,92.37668161,0,91.30434783,,,,,
2000,Варна,39.72148541,83.79530917,87.59124088,83.33333333,,85.71428571,0,89.79591837,92.40506329,100,88.88888889,100,100,75,75.15151515,100,77.77777778,0,90.16393443,,32.84372105,44.74522293,50,33.33333333,,,29.52676493,22.34432234,26.45867099,28.17176318,16.27906977,37.51937984,17.68779968,4.545454545,48.01223242,70.58823529,86.66666667,56.75675676,40.76200418,13.92405063,12.5,100,7.181818182,8.983451537,5.697151424,30,,,80,80,0,0,97.87234043,0,97.77777778,100,0,0,0,0,0,93.08176101,88.88888889,82.4120603,100,87.45928339,84.21052632,91.94312796,,92.1182266,100,0,0,,78.5440613,0,92.08633094,,,,,
2000,Велико Търново,55.41619156,91.46919431,93.33333333,100,,100,100,0,87.17948718,88.88888889,88.46153846,50,100,0,91.89189189,0,100,0,91.89189189,,47.20992028,51.78571429,0,0,,,44.92517892,37.97468354,27.78378378,40.13157895,36,32.19373219,29.91689751,13.04347826,45.78696343,84.375,80,77.27272727,74.81481481,45.45454545,0,94.11764706,27.6119403,26.77165354,25,66.66666667,,,75,75,0,0,100,0,100,0,0,0,0,0,0,96.46302251,93.33333333,92,100,94.73684211,80,94.89795918,,93.97590361,95.23809524,100,0,,96.90721649,0,98.50746269,,,,,
2000,Видин,53.02267003,90.22988506,90.90909091,100,,80,0,0,95.45454545,100,90,0,100,0,88.67924528,100,100,0,90.625,,44.60756635,61.11111111,0,0,,,39.39986954,6.25,37.71929825,48.95104895,50,41.84397163,26.82926829,14.28571429,43.60902256,89.90825688,100,69.31818182,61.2244898,17.24137931,0,91.66666667,40.6779661,52.63157895,10.52631579,100,,,100,100,0,0,100,0,100,0,0,0,0,0,0,91.50943396,100,81.57894737,33.33333333,86.45833333,85.71428571,86.25,,85.71428571,75,0,0,,89.65517241,0,97.36842105,,,,,
2000,Враца,48.4123624,90.12345679,76.47058824,77.77777778,,100,0,0,100,100,100,100,0,0,88.62275449,100,100,0,94.11764706,,40.4656646,50.43478261,0,0,,,38.70550162,48.27586207,33.46693387,34.52380952,49.56521739,34.48275862,27.12765957,21.05263158,39.55094991,64.28571429,100,61.71875,56.51162791,16.88311688,40,95,15.65836299,15.74074074,15.87301587,0,,,100,100,0,0,85.71428571,0,100,0,50,0,0,0,0,98.85386819,100,100,80,91.66666667,80,95.45454545,,95.28301887,78.57142857,100,0,,91.46341463,0,93.47826087,,,,,
2000,Габрово,81.96721311,96.47058824,90,80,,100,0,0,100,100,100,0,0,0,97.77777778,100,100,0,92.85714286,,76.52495379,85.71428571,0,0,,,73.82978723,95.23809524,61.34969325,64.80686695,55.55555556,73.20261438,80.64516129,46.15384615,72.12121212,84.21052632,100,97.22222222,89.83606557,57.14285714,0,87.5,47.72727273,46.34146341,66.66666667,0,,,0,0,0,0,100,0,100,0,100,0,0,0,0,99.57081545,88.88888889,100,100,94.85714286,85.71428571,93.45794393,,94.17475728,100,0,0,,97.87234043,0,96.77419355,,,,,
2000,Добрич,40.6420765,75,31.25,0,,50,0,12.5,85.71428571,76.92307692,81.81818182,100,100,0,77.04918033,0,88.88888889,0,81.81818182,,32.74211712,57.79220779,27.27272727,28.57142857,,,29.27828553,22.98850575,23.93098275,28.60465116,31.25,33.63095238,18.2320442,7.142857143,30.76923077,65.82278481,100,62.67605634,61.79775281,18.42105263,0,87.5,24.80620155,26.01626016,0,0,,,100,100,0,0,100,0,100,0,100,0,0,0,0,95.41284404,100,90.27777778,100,94.29657795,77.77777778,97.34513274,,97.27272727,91.66666667,0,0,,92.20779221,0,93.47826087,,,,,
2000,Кърджали,56.77419355,93.5483871,80,100,,100,0,100,100,100,100,100,100,100,96.72131148,100,83.33333333,0,87.5,,47.35899731,73.33333333,100,100,,,44.35146444,50,40.52287582,50,41.66666667,52.94117647,37.34177215,66.66666667,49.72677596,73.33333333,100,55.55555556,74.40758294,42.37288136,100,91.66666667,43.33333333,43.33333333,0,0,,,0,0,0,0,100,0,100,0,100,0,0,0,0,98.97959184,100,96.66666667,80,79.59183673,100,93.75,,93.10344828,100,0,0,,67.27272727,0,100,,,,,
2000,Кюстендил,44.93280058,84.1025641,100,100,,100,0,0,100,100,100,100,100,100,78.57142857,100,66.66666667,0,85.9375,,30.21052632,63.88888889,100,0,,,27.15038034,37.5,22.11538462,25.73529412,40.98360656,30.15075377,17.15481172,20,28.36879433,59.09090909,100,52.83018868,75.37796976,14.28571429,0,88,37.03703704,37.20930233,36.36363636,0,,,100,100,0,0,100,0,100,0,0,0,0,0,0,92.50814332,100,82.5,100,76.92307692,75,77.68595041,,79.81651376,72.22222222,57.14285714,0,,73.91304348,0,37.5,,,,,
