year,bigregion,region,nhifFunding,diffRelMds,diffRelDeaths,diffNhifFunding
2006,Северозападен,Видин,6329696,5.126,2.5925,14
2006,Северозападен,Враца,17353184,1.3694,24.4252,44
2006,Северозападен,Ловеч,11815317,4.1099,-23.9654,43
2006,Северозападен,Монтана,12636805,-0.5785,25.474,38
2006,Северозападен,Плевен,26120332,36.9749,-115.7543,94
2006,Северен-централен,Велико Търново,18790452,-7.0056,45.186,34
2006,Северен-централен,Габрово,11532918,-1.1199,-118.628,31
2006,Северен-централен,Разград,8701379,-8.6547,-12.0827,27
2006,Северен-централен,Русе,19092620,2.7721,-2.5315,46
2006,Северен-централен,Силистра,8937202,-1.0965,30.3388,21
2006,Североизточен,Варна,43241680,0.9568,29.4523,150
2006,Североизточен,Добрич,10085402,-10.0985,95.8072,29
2006,Североизточен,Търговище,11324149,13.1394,21.5608,38
2006,Североизточен,Шумен,11283221,0.2361,-5.12,24
2006,Югоизточен,Бургас,22308370,1.792,48.9025,63
2006,Югоизточен,Сливен,19070203,3.5268,-9.9044,52
2006,Югоизточен,Стара Загора,27727888,-5.4686,19.5885,73
2006,Югоизточен,Ямбол,7930313,-6.982,46.0917,12
2006,Югозападен,Благоевград,17218338,5.6464,21.0769,56
2006,Югозападен,Кюстендил,11716397,8.5232,5.5804,39
2006,Югозападен,Перник,5759013,-2.2965,47.8585,15
2006,Югозападен,София,14152809,-1.3107,14.9822,48
2006,Югозападен,София (столица),211081616,-23.5742,1.8422,635
2006,Южен-централен,Кърджали,9770914,1.7402,5.6429,28
2006,Южен-централен,Пазарджик,22330402,7.3776,20.9985,66
2006,Южен-централен,Пловдив,87236846,5.5808,17.955,270
2006,Южен-централен,Смолян,8336528,11.1656,11.7093,29
2006,Южен-централен,Хасково,15545438,-2.6846,-19.7453,47
2007,Северозападен,Видин,6700038,12.5657,-73.5512,4
2007,Северозападен,Враца,18858843,-3.4153,14.5933,15
2007,Северозападен,Ловеч,12852868,16.7375,16.2367,10
2007,Северозападен,Монтана,13697623,7.1738,-19.1623,11
2007,Северозападен,Плевен,27626526,4.7203,30.372,15
2007,Северен-централен,Велико Търново,19289129,-2.3875,-72.3826,5
2007,Северен-централен,Габрово,12349366,-7.9442,-15.2976,8
2007,Северен-централен,Разград,9421069,-0.5333,73.6848,7
2007,Северен-централен,Русе,20564309,4.8429,5.7961,15
2007,Северен-централен,Силистра,9352307,-1.8639,-3.0461,4
2007,Североизточен,Варна,53706270,10.2828,-25.3427,105
2007,Североизточен,Добрич,10340272,-3.2145,-23.2565,3
2007,Североизточен,Търговище,12037041,-2.1483,29.8895,7
2007,Североизточен,Шумен,11668609,-12.0459,2.8095,4
2007,Югоизточен,Бургас,23396997,-2.8772,-10.251,11
2007,Югоизточен,Сливен,20369062,-11.2249,-2.3828,13
2007,Югоизточен,Стара Загора,29253684,1.0282,13.407,15
2007,Югоизточен,Ямбол,8294219,2.7826,-22.8732,4
2007,Югозападен,Благоевград,17445049,9.9627,15.3829,2
2007,Югозападен,Кюстендил,12432547,0.016,28.148,7
2007,Югозападен,Перник,6755315,2.6001,4.0197,10
2007,Югозападен,София,14529589,-4.3881,62.0988,4
2007,Югозападен,София (столица),259803737,-13.0581,-6.0164,487
2007,Южен-централен,Кърджали,10133857,3.8784,38.2935,4
2007,Южен-централен,Пазарджик,27581596,-2.1054,19.0562,53
